record_type,algorithm,nproc,maxGen,migration_interval,local_to_global_ratio,num_groups,count,best,mean,std,min,max,avg_time,algorithm_label,mean_1000,mean_5000,improvement_abs,improvement_pct,maxGen_sequence,mean_sequence,non_increasing,strictly_decreasing,rank
summary,SERIAL,1,1000,0,0,0,3,436284,439479.000000,4346.869563,436284,444429,2.713667,,,,,,,,,,
summary,SERIAL,1,3000,0,0,0,3,263588,266350.000000,2659.709007,263588,268894,5.262000,,,,,,,,,,
summary,SERIAL,1,5000,0,0,0,3,168654,172132.666667,3156.753132,168654,174815,5.977333,,,,,,,,,,
summary,DEA,4,1000,100,0,0,3,424318,430230.333333,5120.442006,424318,433233,2.869123,,,,,,,,,,
summary,DEA,4,3000,100,0,0,3,259273,262287.000000,4556.684321,259273,267529,5.658422,,,,,,,,,,
summary,DEA,4,5000,100,0,0,3,161483,162953.333333,1648.837874,161483,164736,6.559385,,,,,,,,,,
summary,HDEA,4,1000,100,5,2,3,427169,430536.000000,5256.426448,427169,436593,3.429441,,,,,,,,,,
summary,HDEA,4,3000,100,5,2,3,246525,250983.666667,3909.048776,246525,253822,6.363352,,,,,,,,,,
summary,HDEA,4,5000,100,5,2,3,153778,156517.666667,2471.616138,153778,158580,7.939369,,,,,,,,,,
summary,MOVING_HDEA,4,1000,100,5,2,3,427653,430791.333333,3071.348618,427653,433791,3.973387,,,,,,,,,,
summary,MOVING_HDEA,4,3000,100,5,2,3,249857,257274.333333,7049.939740,249857,263888,7.432589,,,,,,,,,,
summary,MOVING_HDEA,4,5000,100,5,2,3,153478,158328.000000,4274.426745,153478,161546,9.236827,,,,,,,,,,
improvement,SERIAL,1,,0,0,0,,,,,,,,SERIAL n=1,439479.000000,172132.666667,267346.333333,60.832562,1000->3000->5000,439479.000->266350.000->172132.667,yes,yes,
improvement,DEA,4,,100,0,0,,,,,,,,DEA n=4,430230.333333,162953.333333,267277.000000,62.124164,1000->3000->5000,430230.333->262287.000->162953.333,yes,yes,
improvement,HDEA,4,,100,5,2,,,,,,,,HDEA n=4 groups=2,430536.000000,156517.666667,274018.333333,63.645858,1000->3000->5000,430536.000->250983.667->156517.667,yes,yes,
improvement,MOVING_HDEA,4,,100,5,2,,,,,,,,MOVING_HDEA n=4 groups=2,430791.333333,158328.000000,272463.333333,63.247171,1000->3000->5000,430791.333->257274.333->158328.000,yes,yes,
ranking,,,1000,,,,,424318,430230.333333,,,,,DEA n=4,,,,,,,,,1
ranking,,,1000,,,,,427169,430536.000000,,,,,HDEA n=4 groups=2,,,,,,,,,2
ranking,,,1000,,,,,427653,430791.333333,,,,,MOVING_HDEA n=4 groups=2,,,,,,,,,3
ranking,,,1000,,,,,436284,439479.000000,,,,,SERIAL n=1,,,,,,,,,4
ranking,,,3000,,,,,246525,250983.666667,,,,,HDEA n=4 groups=2,,,,,,,,,1
ranking,,,3000,,,,,249857,257274.333333,,,,,MOVING_HDEA n=4 groups=2,,,,,,,,,2
ranking,,,3000,,,,,259273,262287.000000,,,,,DEA n=4,,,,,,,,,3
ranking,,,3000,,,,,263588,266350.000000,,,,,SERIAL n=1,,,,,,,,,4
ranking,,,5000,,,,,153778,156517.666667,,,,,HDEA n=4 groups=2,,,,,,,,,1
ranking,,,5000,,,,,153478,158328.000000,,,,,MOVING_HDEA n=4 groups=2,,,,,,,,,2
ranking,,,5000,,,,,161483,162953.333333,,,,,DEA n=4,,,,,,,,,3
ranking,,,5000,,,,,168654,172132.666667,,,,,SERIAL n=1,,,,,,,,,4
