record_type,algorithm,nproc,maxGen,migration_interval,local_to_global_ratio,num_groups,count,best,mean,std,median,min,max,avg_time,time_median,improvement_vs_serial_mean_pct,success_below_serial_median_count,success_below_serial_median_rate,success_below_serial_best_count,success_below_serial_best_rate,comparison,status,mean_left,mean_right,mean_diff_left_minus_right,mean_diff_ci_low,mean_diff_ci_high,p_value,hedges_g,better_group,significant_at_0.05,better_than_serial_mean,better_than_serial_median
summary,SERIAL,1,5000,0,0,0,5,168654,171558.600000,2460.118148,171648.000000,168654,174815,5.721000,5.761000,0.000000,2,0.400000,0,0.000000,,,,,,,,,,,,,
summary,DEA,4,5000,25,0,0,5,107560,110326.000000,3079.608741,109393.000000,107560,115611,4.849960,4.762979,35.691944,5,1.000000,5,1.000000,,,,,,,,,,,,,
summary,DEA,9,5000,25,0,0,5,104278,108607.600000,2750.779580,109318.000000,104278,111628,5.798542,5.746716,36.693585,5,1.000000,5,1.000000,,,,,,,,,,,,,
summary,HDEA,4,5000,25,20,2,5,105728,107892.800000,1496.672209,107695.000000,105728,109834,5.101788,5.049673,37.110235,5,1.000000,5,1.000000,,,,,,,,,,,,,
summary,HDEA,9,5000,25,20,3,5,102586,105127.400000,1983.763040,104770.000000,102586,107160,5.796031,5.736405,38.722163,5,1.000000,5,1.000000,,,,,,,,,,,,,
summary,MOVING_HDEA,4,5000,25,20,2,5,106838,110460.800000,4040.559330,108204.000000,106838,115127,5.376493,5.447458,35.613371,5,1.000000,5,1.000000,,,,,,,,,,,,,
summary,MOVING_HDEA,9,5000,25,20,3,5,104960,106957.000000,1634.146413,107545.000000,104960,108827,6.013772,6.008192,37.655705,5,1.000000,5,1.000000,,,,,,,,,,,,,
ttest,,,,,,,,,,,,,,,,,,,,,SERIAL n=1 vs DEA n=4,ok,171558.600000,110326.000000,61232.600000,57132.942556,65332.257444,0.000000,19.843672,DEA n=4,yes,,
ttest,,,,,,,,,,,,,,,,,,,,,SERIAL n=1 vs DEA n=9,ok,171558.600000,108607.600000,62951.000000,59136.980080,66765.019920,0.000000,21.789228,DEA n=9,yes,,
ttest,,,,,,,,,,,,,,,,,,,,,SERIAL n=1 vs HDEA n=4 groups=2,ok,171558.600000,107892.800000,63665.800000,60583.235697,66748.364303,0.000000,28.241153,HDEA n=4 groups=2,yes,,
ttest,,,,,,,,,,,,,,,,,,,,,SERIAL n=1 vs HDEA n=9 groups=3,ok,171558.600000,105127.400000,66431.200000,63146.395297,69716.004703,0.000000,26.850668,HDEA n=9 groups=3,yes,,
ttest,,,,,,,,,,,,,,,,,,,,,SERIAL n=1 vs MOVING_HDEA n=4 groups=2,ok,171558.600000,110460.800000,61097.800000,56034.356289,66161.243711,0.000000,16.497698,MOVING_HDEA n=4 groups=2,yes,,
ttest,,,,,,,,,,,,,,,,,,,,,SERIAL n=1 vs MOVING_HDEA n=9 groups=3,ok,171558.600000,106957.000000,64601.600000,61474.261170,67728.938830,0.000000,27.940311,MOVING_HDEA n=9 groups=3,yes,,
ttest,,,,,,,,,,,,,,,,,,,,,DEA n=4 vs HDEA n=4 groups=2,ok,110326.000000,107892.800000,2433.200000,-1346.937212,6213.337212,0.164947,0.907718,HDEA n=4 groups=2,no,,
ttest,,,,,,,,,,,,,,,,,,,,,DEA n=4 vs MOVING_HDEA n=4 groups=2,ok,110326.000000,110460.800000,-134.800000,-5438.846510,5169.246510,0.954244,-0.033893,DEA n=4,no,,
ttest,,,,,,,,,,,,,,,,,,,,,HDEA n=4 groups=2 vs MOVING_HDEA n=4 groups=2,ok,107892.800000,110460.800000,-2568.000000,-7498.830511,2362.830511,0.239318,-0.761282,HDEA n=4 groups=2,no,,
ttest,,,,,,,,,,,,,,,,,,,,,DEA n=9 vs HDEA n=9 groups=3,ok,108607.600000,105127.400000,3480.200000,-78.973088,7039.373088,0.054057,1.310771,HDEA n=9 groups=3,no,,
ttest,,,,,,,,,,,,,,,,,,,,,DEA n=9 vs MOVING_HDEA n=9 groups=3,ok,108607.600000,106957.000000,1650.600000,-1785.161028,5086.361028,0.289269,0.658965,MOVING_HDEA n=9 groups=3,no,,
ttest,,,,,,,,,,,,,,,,,,,,,HDEA n=9 groups=3 vs MOVING_HDEA n=9 groups=3,ok,105127.400000,106957.000000,-1829.600000,-4497.162665,837.962665,0.151482,-0.909298,HDEA n=9 groups=3,no,,
criteria,DEA,4,5000,25,0,0,,,,,,,,,,,5,1.000000,5,1.000000,,,,,,,,,,,,yes,yes
criteria,DEA,9,5000,25,0,0,,,,,,,,,,,5,1.000000,5,1.000000,,,,,,,,,,,,yes,yes
criteria,HDEA,4,5000,25,20,2,,,,,,,,,,,5,1.000000,5,1.000000,,,,,,,,,,,,yes,yes
criteria,HDEA,9,5000,25,20,3,,,,,,,,,,,5,1.000000,5,1.000000,,,,,,,,,,,,yes,yes
criteria,MOVING_HDEA,4,5000,25,20,2,,,,,,,,,,,5,1.000000,5,1.000000,,,,,,,,,,,,yes,yes
criteria,MOVING_HDEA,9,5000,25,20,3,,,,,,,,,,,5,1.000000,5,1.000000,,,,,,,,,,,,yes,yes
